File Name,Summary
java.lang.model.yml,"['java.lang', 'String', False, 'String', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'concat', '(String)', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'concat', '(String)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'copyValueOf', '', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'format', '(Locale,String,Object[])', '', 'Argument[1]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'format', '(Locale,String,Object[])', '', 'Argument[2].ArrayElement', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'format', '(String,Object[])', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'format', '(String,Object[])', '', 'Argument[1].ArrayElement', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'formatted', '(Object[])', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'formatted', '(Object[])', '', 'Argument[0].ArrayElement', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'getBytes', '', '', 'Argument[this]', 'Argument[2]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'getBytes', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'getChars', '', '', 'Argument[this]', 'Argument[2]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'indent', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'intern', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'join', '', '', 'Argument[0..1]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'lines', '()', '', 'Argument[this]', 'ReturnValue.Element', 'taint', 'df-manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'repeat', '(int)', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'replace', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'replace', '', '', 'Argument[1]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'replaceAll', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'replaceAll', '', '', 'Argument[1]', 'ReturnValue', 'taint', 'manual']"
